        4436
  0.313343775693255246D-04 -0.143966006935812329D+05  0.347219086234540462D+09 -0.193499352533656914D+14
  0.321276009472692072D-04 -0.141271853538198375D+05  0.332396051328960717D+09 -0.180681184896573828D+14
  0.329409043493768310D-04 -0.138627431195513418D+05  0.318204598934396505D+09 -0.168711553659217070D+14
  0.337747960771558615D-04 -0.136031831970947314D+05  0.304617866299599171D+09 -0.157534324576249844D+14
  0.346297972984577478D-04 -0.133484164355290468D+05  0.291610131340642571D+09 -0.147097074582761680D+14
  0.355064423731203690D-04 -0.130983552971928075D+05  0.279156764278287649D+09 -0.137350846585354414D+14
  0.364052791868511765D-04 -0.128529138287096994D+05  0.267234181323035538D+09 -0.128249920445633203D+14
  0.373268694935584736D-04 -0.126120076325313566D+05  0.255819800321192920D+09 -0.119751599087988418D+14
  0.382717892663449481D-04 -0.123755538389881076D+05  0.244891998279030085D+09 -0.111816008732331367D+14
  0.392406290573827867D-04 -0.121434710788384837D+05  0.234430070685696959D+09 -0.104405912320194492D+14
  0.402339943668939524D-04 -0.119156794563089152D+05  0.224414192558720678D+09 -0.974865352633890039D+13
  0.412525060214672927D-04 -0.116921005226146335D+05  0.214825381139297485D+09 -0.910254027013248828D+13
  0.422968005619477031D-04 -0.114726572499533559D+05  0.205645460167585731D+09 -0.849921875078649805D+13
  0.433675306411395223D-04 -0.112572740059634198D+05  0.196857025671138346D+09 -0.793585683376419336D+13
  0.444653654315727806D-04 -0.110458765286379894D+05  0.188443413202531248D+09 -0.740980970492159961D+13
  0.455909910435859571D-04 -0.108383919016873660D+05  0.180388666464830399D+09 -0.691860748862740332D+13
  0.467451109539870468D-04 -0.106347485303413268D+05  0.172677507266190767D+09 -0.645994368381989453D+13
  0.479284464455598683D-04 -0.104348761175837499D+05  0.165295306747398317D+09 -0.603166436402799805D+13
  0.491417370576898474D-04 -0.102387056408118096D+05  0.158228057828443587D+09 -0.563175809091630469D+13
  0.503857410483909447D-04 -0.100461693289122031D+05  0.151462348822578311D+09 -0.525834649421969336D+13
  0.516612358680208466D-04 -0.985720063974707955D+04  0.144985338168455631D+09 -0.490967547408316992D+13
  0.529690186449814266D-04 -0.967173423804224149D+04  0.138784730233023584D+09 -0.458410698470005566D+13
  0.543099066837064853D-04 -0.948970597367056871D+04  0.132848752139876202D+09 -0.428011136086254980D+13
  0.556847379752474777D-04 -0.931105286032366712D+04  0.127166131579651505D+09 -0.399626015157201904D+13
  0.570943717207766292D-04 -0.913571305456469054D+04  0.121726075560918868D+09 -0.373121942722122900D+13
  0.585396888683321177D-04 -0.896362583525583432D+04  0.116518250061746255D+09 -0.348374352906907617D+13
  0.600215926631423108D-04 -0.879473158335352491D+04  0.111532760543832660D+09 -0.325266923180207617D+13
