        4436
  0.680131580392042963D-04  0.666466508139399809D-07  0.163331262593386707D-02  0.160096790914074703D+02
  0.697348714339101602D-04  0.694821800177620204D-07  0.166076186463338807D-02  0.158768254066063843D+02
  0.715001677550207611D-04  0.724383467144842299D-07  0.168867238726130376D-02  0.157450714898695594D+02
  0.733101501836734006D-04  0.755202833220616976D-07  0.171705195267489626D-02  0.156144080403536378D+02
  0.751659498217144739D-04  0.787333405235032307D-07  0.174590842327459680D-02  0.154848313359444401D+02
  0.770687263981847682D-04  0.820830966363967631D-07  0.177524984072049280D-02  0.153563354436858059D+02
  0.790196689936726167D-04  0.855753673877879405D-07  0.180508434586184761D-02  0.152288997647573954D+02
  0.810199967829859901D-04  0.892162157837970627D-07  0.183542020764583579D-02  0.151025227594704869D+02
  0.830709597966075775D-04  0.930119628257948605D-07  0.186626587131858996D-02  0.149771976164201988D+02
  0.851738397014048504D-04  0.969691984347530174D-07  0.189762989415637358D-02  0.148529078541392821D+02
  0.873299506010846412D-04  0.101094792819874112D-06  0.192952097497102047D-02  0.147296509886159512D+02
  0.895406398568891255D-04  0.105395908461076982D-06  0.196194798692911994D-02  0.146074208189264123D+02
  0.918072889290445050D-04  0.109880012604364816D-06  0.199491993433269059D-02  0.144862038335702152D+02
  0.941313142394879977D-04  0.114554890083587455D-06  0.202844596874208419D-02  0.143659906111066427D+02
  0.965141680564082446D-04  0.119428656955975122D-06  0.206253539440036165D-02  0.142467736861592282D+02
  0.989573394011523326D-04  0.124509774454839483D-06  0.209719767656547842D-02  0.141285490457259559D+02
  0.101462354978062893D-03  0.129807063833398955D-06  0.213244245558224122D-02  0.140113072189549115D+02
  0.104030780127825097D-03  0.135329721595348067D-06  0.216827951156098493D-02  0.138950348874099099D+02
  0.106664219804916964D-03  0.141087335430760269D-06  0.220471878481635084D-02  0.137797285620318810D+02
  0.109364319579770286D-03  0.147089900856858672D-06  0.224177041043763757D-02  0.136653805472694572D+02
  0.112132766666268600D-03  0.153347838712830078D-06  0.227944466724915897D-02  0.135519797480551887D+02
  0.114971290975220095D-03  0.159872012955662336D-06  0.231775201638715917D-02  0.134395207333652245D+02
  0.117881666194461092D-03  0.166673749862624749D-06  0.235670309836904287D-02  0.133279953495463381D+02
  0.120865710896264140D-03  0.173764857353825917D-06  0.239630872677982273D-02  0.132173966591166625D+02
  0.123925289672736200D-03  0.181157645795827922D-06  0.243657990761503296D-02  0.131077143574310782D+02
  0.127062314299918202D-03  0.188864949113645369D-06  0.247752780454481075D-02  0.129989417510071892D+02
  0.130278744931306556D-03  0.196900147154023386D-06  0.251916380192921405D-02  0.128910741334890897D+02
  0.133576591321540259D-03  0.205277189017968179D-06  0.256149945978758004D-02  0.127841010231522390D+02
  0.136957914081016523D-03  0.214010617058907128D-06  0.260454652880559405D-02  0.126780135734094426D+02
  0.140424825962210298D-03  0.223115592309524447D-06  0.264831695040209291D-02  0.125728076907841775D+02
  0.143979493178504679D-03  0.232607920546584076D-06  0.269282289564714509D-02  0.124684765402256446D+02
  0.147624136756345378D-03  0.242504080174050062D-06  0.273807671398677323D-02  0.123650092467317876D+02
  0.151361033921565077D-03  0.252821250173093557D-06  0.278409096241799114D-02  0.122624032029609413D+02
  0.155192519520736856D-03  0.263577340569108382D-06  0.283087844275325008D-02  0.121606487468036057D+02
  0.159120987478439060D-03  0.274791023097372095D-06  0.287845211811190403D-02  0.120597354131175933D+02
  0.163148892291341160D-03  0.286481763618178460D-06  0.292682519687498428D-02  0.119596610037266515D+02
  0.167278750560035245D-03  0.298669856081517836D-06  0.297601111897454005D-02  0.118604189888715830D+02
  0.171513142559565643D-03  0.311376457631551033D-06  0.302602354415788637D-02  0.117619995576109044D+02
  0.175854713849635545D-03  0.324623625388450658D-06  0.307687634302170228D-02  0.116643964665820796D+02
  0.180306176925483356D-03  0.338434354487153541D-06  0.312858364266656135D-02  0.115676045217560741D+02
  0.184870312910463040D-03  0.352832618416034616D-06  0.318115979728972320D-02  0.114716149166344348D+02
  0.189549973291371662D-03  0.367843410076528605D-06  0.323461939342248664D-02  0.113764232305416382D+02
  0.194348081697605959D-03  0.383492785612104117D-06  0.328897729228326118D-02  0.112820204469598373D+02
  0.199267635725251590D-03  0.399807909420918216D-06  0.334424855097894451D-02  0.111884005963560931D+02
  0.204311708807232651D-03  0.416817100966903208D-06  0.340044853951340393D-02  0.110955604113202231D+02
  0.209483452130689225D-03  0.434549884821347506D-06  0.345759285728043002D-02  0.110034888393667813D+02
  0.214786096602766029D-03  0.453037040680407797D-06  0.351569734757646232D-02  0.109121812226105384D+02
  0.220222954866034122D-03  0.472310657801064548D-06  0.357477815563973962D-02  0.108216323136073704D+02
  0.225797423364796474D-03  0.492404189982610408D-06  0.363485167276467961D-02  0.107318351466778097D+02
  0.231512984463553472D-03  0.513352514041721814D-06  0.369593458368753895D-02  0.106427829692300087D+02
  0.237373208618948050D-03  0.535191990066375549D-06  0.375804382839548369D-02  0.105544692501098947D+02
  0.243381756606531827D-03  0.557960524458964746D-06  0.382119665212848382D-02  0.104668899951540038D+02
