        4436
  0.491417370576898474D-04  0.781339542080480148D-03  0.105995285146510589D+02 -0.719127266387678101D+05
  0.503857410483909447D-04  0.794470453031410483D-03  0.105115595395527563D+02 -0.695553250655194424D+05
  0.516612358680208466D-04  0.807822024497298536D-03  0.104243204556027287D+02 -0.672752056142471847D+05
  0.529690186449814266D-04  0.821397964005260895D-03  0.103378052048582880D+02 -0.650698347958191880D+05
  0.543099066837064853D-04  0.835202041352345976D-03  0.102520077795526987D+02 -0.629367621695378766D+05
  0.556847379752474777D-04  0.849238089650329250D-03  0.101669222216766109D+02 -0.608736176219817571D+05
  0.570943717207766292D-04  0.863510006387981457D-03  0.100825426225726371D+02 -0.588781087317223282D+05
  0.585396888683321177D-04  0.878021754511135307D-03  0.999886312253003595D+01 -0.569480182267652708D+05
  0.600215926631423108D-04  0.892777363520806428D-03  0.991587791037475164D+01 -0.550812015203812043D+05
  0.615410092118707266D-04  0.907780930589693804D-03  0.983358122307321914D+01 -0.532755843273277133D+05
  0.630988880611342172D-04  0.923036621697359517D-03  0.975196734533251863D+01 -0.515291603598493966D+05
  0.646962027906552859D-04  0.938548672784391444D-03  0.967103060920982038D+01 -0.498399890982534998D+05
  0.663339516214174257D-04  0.954321390925881564D-03  0.959076539372077974D+01 -0.482061936374539946D+05
  0.680131580392042963D-04  0.970359155524516074D-03  0.951116612444788245D+01 -0.466259586004991870D+05
  0.697348714339101602D-04  0.986666419523619595D-03  0.943222727315911413D+01 -0.450975281213718990D+05
  0.715001677550207611D-04  0.100324771064048317D-02  0.935394335742365257D+01 -0.436192038948609188D+05
  0.733101501836734006D-04  0.102010763262030068D-02  0.927630894023481645D+01 -0.421893432886567243D+05
  0.751659498217144739D-04  0.103725086651107619D-02  0.919931862963578162D+01 -0.408063575197880709D+05
  0.770687263981847682D-04  0.105468217195982912D-02  0.912296707834370935D+01 -0.394687098893407965D+05
  0.790196689936726167D-04  0.107240638853045903D-02  0.904724898338187700D+01 -0.381749140752331659D+05
  0.810199967829859901D-04  0.109042843704363203D-02  0.897215908570920462D+01 -0.369235324801122188D+05
  0.830709597966075775D-04  0.110875332093903563D-02  0.889769216986134737D+01 -0.357131746330300375D+05
  0.851738397014048504D-04  0.112738612766041281D-02  0.882384306359073101D+01 -0.345424956475165745D+05
  0.873299506010846412D-04  0.114633203006370057D-02  0.875060663750167933D+01 -0.334101947261424939D+05
  0.895406398568891255D-04  0.116559628784868529D-02  0.867797780470094793D+01 -0.323150137144223154D+05
  0.918072889290445050D-04  0.118518424901456801D-02  0.860595152044195544D+01 -0.312557357038084556D+05
