        4436
  0.155602893241317574D-04 -0.109499999999999993D+02  0.642699033376846055D+05  0.190994400535510977D+14
  0.269697956703953834D-04 -0.104000000000000004D+02  0.370808461048711906D+05 -0.137531762251338863D+10
  0.276525317665326145D-04 -0.103750000000000000D+02  0.361653364532116757D+05 -0.130824330311553288D+10
  0.283525510230741155D-04 -0.103499999999999996D+02  0.352724308153869206D+05 -0.124444021928422546D+10
  0.290702909455105032D-04 -0.103249999999999993D+02  0.344015710963063902D+05 -0.118374883141098499D+10
  0.298062001138214679D-04 -0.103000000000000007D+02  0.335522129802979471D+05 -0.112601738071699047D+10
  0.305607384627760620D-04 -0.102750000000000004D+02  0.327238255908894243D+05 -0.107110150977647519D+10
  0.313343775693255246D-04 -0.102500000000000000D+02  0.319158911589962227D+05 -0.101886390154703283D+10
  0.321276009472692072D-04 -0.102249999999999996D+02  0.311279046992980075D+05 -0.969173936007965088D+09
  0.329409043493768310D-04 -0.101999999999999993D+02  0.303593736946063145D+05 -0.921907363542436123D+09
  0.337747960771558615D-04 -0.101750000000000007D+02  0.296098177880255389D+05 -0.876945994249416351D+09
  0.346297972984577478D-04 -0.101500000000000004D+02  0.288787684827138983D+05 -0.834177402408444166D+09
  0.355064423731203690D-04 -0.101250000000000000D+02  0.281657688490575601D+05 -0.793494645356797814D+09
  0.364052791868511765D-04 -0.100999999999999996D+02  0.274703732390755540D+05 -0.754795996077824831D+09
  0.373268694935584736D-04 -0.100749999999999993D+02  0.267921470078749844D+05 -0.717984688832206368D+09
  0.382717892663449481D-04 -0.100500000000000007D+02  0.261306662419828572D+05 -0.682968677193004370D+09
  0.392406290573827867D-04 -0.100250000000000004D+02  0.254855174943872626D+05 -0.649660403881623149D+09
  0.402339943668939524D-04 -0.100000000000000000D+02  0.248562975261201209D+05 -0.617976581830862284D+09
  0.412525060214672927D-04 -0.997499999999999964D+01  0.242426130542183200D+05 -0.587837985924548984D+09
  0.422968005619477031D-04 -0.994999999999999929D+01  0.236440805059090926D+05 -0.559169254892489910D+09
  0.433675306411395223D-04 -0.992500000000000071D+01  0.230603257788665942D+05 -0.531898702869725883D+09
  0.444653654315727806D-04 -0.990000000000000036D+01  0.224909840073834712D+05 -0.505958140145768404D+09
  0.455909910435859571D-04 -0.987500000000000000D+01  0.219356993343186114D+05 -0.481282702653862715D+09
  0.467451109539870468D-04 -0.984999999999999964D+01  0.213941246886757253D+05 -0.457810689778527319D+09
  0.479284464455598683D-04 -0.982499999999999929D+01  0.208659215686711250D+05 -0.435483410072219610D+09
  0.491417370576898474D-04 -0.980000000000000071D+01  0.203507598301605103D+05 -0.414245034496231437D+09
  0.503857410483909447D-04 -0.977500000000000036D+01  0.198483174802874128D+05 -0.394042456820125580D+09
  0.516612358680208466D-04 -0.975000000000000000D+01  0.193582804762273227D+05 -0.374825160828722835D+09
  0.529690186449814266D-04 -0.972499999999999964D+01  0.188803425289005609D+05 -0.356545094005619586D+09
  0.543099066837064853D-04 -0.969999999999999929D+01  0.184142049115318514D+05 -0.339156547377379477D+09
  0.556847379752474777D-04 -0.967500000000000071D+01  0.179595762729362832D+05 -0.322616041217841744D+09
  0.570943717207766292D-04 -0.965000000000000036D+01  0.175161724554151115D+05 -0.306882216326383412D+09
  0.585396888683321177D-04 -0.962500000000000000D+01  0.170837163171485954D+05 -0.291915730608907282D+09
  0.600215926631423108D-04 -0.959999999999999964D+01  0.166619375589728661D+05 -0.277679160702862680D+09
  0.615410092118707266D-04 -0.957499999999999929D+01  0.162505725554336332D+05 -0.264136908399281859D+09
  0.630988880611342172D-04 -0.955000000000000071D+01  0.158493641900127004D+05 -0.251255111629016101D+09
  0.646962027906552859D-04 -0.952500000000000036D+01  0.154580616944214798D+05 -0.239001559790899813D+09
  0.663339516214174257D-04 -0.950000000000000000D+01  0.150764204918619835D+05 -0.227345613208440155D+09
  0.680131580392042963D-04 -0.947499999999999964D+01  0.147042020441592776D+05 -0.216258126515045166D+09
  0.697348714339101602D-04 -0.944999999999999929D+01  0.143411737026665342D+05 -0.205711375775758028D+09
  0.715001677550207611D-04 -0.942500000000000071D+01  0.139871085628532255D+05 -0.195678989163479984D+09
  0.733101501836734006D-04 -0.940000000000000036D+01  0.136417853224809442D+05 -0.186135881016192198D+09
  0.751659498217144739D-04 -0.937500000000000000D+01  0.133049881432828697D+05 -0.177058189109373093D+09
  0.770687263981847682D-04 -0.934999999999999964D+01  0.129765065160588547D+05 -0.168423214988891482D+09
  0.790196689936726167D-04 -0.932499999999999929D+01  0.126561351290988223D+05 -0.160209367213502049D+09
  0.810199967829859901D-04 -0.930000000000000071D+01  0.123436737398567930D+05 -0.152396107364858627D+09
  0.830709597966075775D-04 -0.927500000000000036D+01  0.120389270497928264D+05 -0.144963898691117108D+09
