        4436
  0.895406398568891255D-04  0.299989283979313193D+01 -0.119672778215186115D+01  0.110639870087571679D+01
  0.918072889290445050D-04  0.299989012723402304D+01 -0.119672527470154089D+01  0.110620947735572894D+01
  0.941313142394879977D-04  0.299988734601714313D+01 -0.119672270390591184D+01  0.110632480221530649D+01
  0.965141680564082446D-04  0.299988449440498339D+01 -0.119672006735603720D+01  0.110625483170533379D+01
  0.989573394011523326D-04  0.299988157061606708D+01 -0.119671736510507554D+01  0.110603089277047895D+01
  0.101462354978062893D-03  0.299987857282385306D+01 -0.119671459450914686D+01  0.110617302842810461D+01
  0.104030780127825097D-03  0.299987549915559404D+01 -0.119671175299204346D+01  0.110627689459239220D+01
  0.106664219804916964D-03  0.299987234769117084D+01 -0.119670883980951270D+01  0.110621287760215825D+01
  0.109364319579770286D-03  0.299986911646188270D+01 -0.119670585296297149D+01  0.110622048335081669D+01
  0.112132766666268600D-03  0.299986580344923803D+01 -0.119670279038946359D+01  0.110616859142752388D+01
  0.114971290975220095D-03  0.299986240658367675D+01 -0.119669965071249207D+01  0.110625396054884484D+01
  0.117881666194461092D-03  0.299985892374329488D+01 -0.119669643063515574D+01  0.110624143365362482D+01
  0.120865710896264140D-03  0.299985535275251669D+01 -0.119669313007359635D+01  0.110611408630611496D+01
  0.123925289672736200D-03  0.299985169138072383D+01 -0.119668974569474473D+01  0.110618968753751434D+01
  0.127062314299918202D-03  0.299984793734089816D+01 -0.119668627545239259D+01  0.110615766467808863D+01
  0.130278744931306556D-03  0.299984408828815363D+01 -0.119668271777653823D+01  0.110617901384191408D+01
  0.133576591321540259D-03  0.299984014181831427D+01 -0.119667906948897063D+01  0.110624331114042640D+01
  0.136957914081016523D-03  0.299983609546638474D+01 -0.119667532899203977D+01  0.110618872578389782D+01
  0.140424825962210298D-03  0.299983194670503472D+01 -0.119667149405195117D+01  0.110614086812533019D+01
  0.143979493178504679D-03  0.299982769294300589D+01 -0.119666756213763525D+01  0.110609868272762757D+01
  0.147624136756345378D-03  0.299982333152351677D+01 -0.119666353090633670D+01  0.110608614817112527D+01
  0.151361033921565077D-03  0.299981885972258500D+01 -0.119665939751618700D+01  0.110621036778548354D+01
  0.155192519520736856D-03  0.299981427474735574D+01 -0.119665515867262329D+01  0.110619271690691989D+01
  0.159120987478439060D-03  0.299980957373433821D+01 -0.119665081352428171D+01  0.110604875839463235D+01
  0.163148892291341160D-03  0.299980475374762579D+01 -0.119664635853820212D+01  0.110611011019759120D+01
  0.167278750560035245D-03  0.299979981177708277D+01 -0.119664179013195682D+01  0.110623863454316407D+01
  0.171513142559565643D-03  0.299979474473645347D+01 -0.119663710567628012D+01  0.110615753264726191D+01
  0.175854713849635545D-03  0.299978954946144771D+01 -0.119663230377951280D+01  0.110603023989667837D+01
  0.180306176925483356D-03  0.299978422270775003D+01 -0.119662738031405791D+01  0.110611466729504704D+01
  0.184870312910463040D-03  0.299977876114904252D+01 -0.119662233148396546D+01  0.110611364277506574D+01
  0.189549973291371662D-03  0.299977316137488614D+01 -0.119661715563432924D+01  0.110606914791055599D+01
  0.194348081697605959D-03  0.299976741988862505D+01 -0.119661184841180512D+01  0.110609343054845022D+01
  0.199267635725251590D-03  0.299976153310520521D+01 -0.119660640699342991D+01  0.110609652871053754D+01
  0.204311708807232651D-03  0.299975549734893177D+01 -0.119660082767633846D+01  0.110607248555924231D+01
  0.209483452130689225D-03  0.299974930885119973D+01 -0.119659510756521659D+01  0.110604371808343949D+01
  0.214786096602766029D-03  0.299974296374811988D+01 -0.119658924254391952D+01  0.110606684332008465D+01
  0.220222954866034122D-03  0.299973645807815492D+01 -0.119658322895586089D+01  0.110601234151033578D+01
  0.225797423364796474D-03  0.299972978777960675D+01 -0.119657706388962781D+01  0.110602424986425074D+01
  0.231512984463553472D-03  0.299972294868812828D+01 -0.119657074189843282D+01  0.110605278373968341D+01
  0.237373208618948050D-03  0.299971593653412016D+01 -0.119656426046718334D+01  0.110598131110413478D+01
  0.243381756606531827D-03  0.299970874694005296D+01 -0.119655761526161952D+01  0.110601548268272332D+01
  0.249542381803732839D-03  0.299970137541778614D+01 -0.119655080116458512D+01  0.110606234048882124D+01
  0.255858932530441839D-03  0.299969381736574281D+01 -0.119654381472877125D+01  0.110602683454787698D+01
  0.262335354448658996D-03  0.299968606806606131D+01 -0.119653665179762636D+01  0.110595210202894179D+01
  0.268975693022697028D-03  0.299967812268165535D+01 -0.119652930822799952D+01  0.110593793247947225D+01
  0.275784096041455280D-03  0.299966997625321152D+01 -0.119652177831826556D+01  0.110597069635612399D+01
  0.282764816204330650D-03  0.299966162369612155D+01 -0.119651405786222464D+01  0.110596595531762087D+01
  0.289922213772361975D-03  0.299965305979728525D+01 -0.119650614204181815D+01  0.110596955911651218D+01
  0.297260759286247791D-03  0.299964427921191534D+01 -0.119649802578934628D+01  0.110593002953149089D+01
  0.304785036352922154D-03  0.299963527646017303D+01 -0.119648970480847150D+01  0.110589547803231225D+01
  0.312499744502405246D-03  0.299962604592379467D+01 -0.119648117306240254D+01  0.110593077593962441D+01
  0.320409702116699105D-03  0.299961658184259461D+01 -0.119647242500500428D+01  0.110591594926691572D+01
  0.328519849432536181D-03  0.299960687831088668D+01 -0.119646345618067462D+01  0.110587618729303072D+01
  0.336835251619833648D-03  0.299959692927379828D+01 -0.119645426038108571D+01  0.110588077708631172D+01
  0.345361101937756551D-03  0.299958672852355646D+01 -0.119644483176215743D+01  0.110586167898383758D+01
  0.354102724970338175D-03  0.299957626969558033D+01 -0.119643516494927304D+01  0.110585001323371168D+01
  0.363065579943652544D-03  0.299956554626457583D+01 -0.119642525326210958D+01  0.110583885011623417D+01
  0.372255264126586480D-03  0.299955455154046113D+01 -0.119641509117165978D+01  0.110582725054433695D+01
  0.381677516317307022D-03  0.299954327866421888D+01 -0.119640467167282893D+01  0.110582151221834080D+01
  0.391338220417574356D-03  0.299953172060366313D+01 -0.119639398883237025D+01  0.110578673944905193D+01
  0.401243409097103816D-03  0.299951987014903310D+01 -0.119638303597214657D+01  0.110578882789930111D+01
  0.411399267550232087D-03  0.299950771990857978D+01 -0.119637180554584877D+01  0.110577669273642054D+01
  0.421812137347202763D-03  0.299949526230393992D+01 -0.119636029155981305D+01  0.110574374018284072D+01
  0.432488520382440234D-03  0.299948248956544861D+01 -0.119634848623706169D+01  0.110575056768379842D+01
