        4436
  0.529690186449814266D-04  0.277225632082345923D-02  0.348913426536924618D+02 -0.219596177746253437D+06
  0.543099066837064853D-04  0.281884677098395058D-02  0.346017957721549578D+02 -0.212397110517445864D+06
  0.556847379752474777D-04  0.286622019285841115D-02  0.343146518587151164D+02 -0.205434055534403829D+06
  0.570943717207766292D-04  0.291438974350755010D-02  0.340298909735658555D+02 -0.198699275406727334D+06
  0.585396888683321177D-04  0.296336880103646250D-02  0.337474933424018815D+02 -0.192185286401133751D+06
  0.600215926631423108D-04  0.301317096830634431D-02  0.334674393550604066D+02 -0.185884850132646447D+06
  0.615410092118707266D-04  0.306381007670835726D-02  0.331897095641387807D+02 -0.179790965528474073D+06
  0.630988880611342172D-04  0.311530019000078951D-02  0.329142846836353158D+02 -0.173896861026046507D+06
  0.646962027906552859D-04  0.316765560821051550D-02  0.326411455876563608D+02 -0.168195987060323358D+06
  0.663339516214174257D-04  0.322089087160003229D-02  0.323702733090438528D+02 -0.162682008796142851D+06
  0.680131580392042963D-04  0.327502076470069514D-02  0.321016490380724733D+02 -0.157348799068804365D+06
  0.697348714339101602D-04  0.333006032041393424D-02  0.318352541211625919D+02 -0.152190431593185640D+06
  0.715001677550207611D-04  0.338602482418089070D-02  0.315710700595410074D+02 -0.147201174371084664D+06
  0.733101501836734006D-04  0.344292981822213367D-02  0.313090785080001872D+02 -0.142375483315263962D+06
  0.751659498217144739D-04  0.350079110584838133D-02  0.310492612736021556D+02 -0.137707996098896023D+06
  0.770687263981847682D-04  0.355962475584343683D-02  0.307916003144251107D+02 -0.133193526192593621D+06
  0.790196689936726167D-04  0.361944710692064901D-02  0.305360777383024597D+02 -0.128827057103101906D+06
  0.810199967829859901D-04  0.368027477225392951D-02  0.302826758015829185D+02 -0.124603736794132958D+06
  0.830709597966075775D-04  0.374212464408483440D-02  0.300313769079087081D+02 -0.120518872300540475D+06
  0.851738397014048504D-04  0.380501389840670265D-02  0.297821636069732492D+02 -0.116567924511856312D+06
  0.873299506010846412D-04  0.386895999972730739D-02  0.295350185933260043D+02 -0.112746503122560840D+06
  0.895406398568891255D-04  0.393398070591134425D-02  0.292899247051744069D+02 -0.109050361761592867D+06
  0.918072889290445050D-04  0.400009407310396390D-02  0.290468649231752067D+02 -0.105475393272173736D+06
  0.941313142394879977D-04  0.406731846073677458D-02  0.288058223692621382D+02 -0.102017625143339857D+06
  0.965141680564082446D-04  0.413567253661770162D-02  0.285667803054769323D+02 -0.986732150981427694D+05
  0.989573394011523326D-04  0.420517528210605836D-02  0.283297221328061184D+02 -0.954384468253670202D+05
  0.101462354978062893D-03  0.427584599737430068D-02  0.280946313900251177D+02 -0.923097258499168383D+05
  0.104030780127825097D-03  0.434770430675782138D-02  0.278614917525537251D+02 -0.892835755367619859D+05
  0.106664219804916964D-03  0.442077016419436218D-02  0.276302870313281304D+02 -0.863566332262260257D+05
  0.109364319579770286D-03  0.449506385875441273D-02  0.274010011716834470D+02 -0.835256465026560472D+05
  0.112132766666268600D-03  0.457060602026427946D-02  0.271736182522166203D+02 -0.807874695782421622D+05
  0.114971290975220095D-03  0.464741762502305505D-02  0.269481224836977731D+02 -0.781390597913884412D+05
  0.117881666194461092D-03  0.472552000161552670D-02  0.267244982079847233D+02 -0.755774742345135019D+05
  0.120865710896264140D-03  0.480493483682215266D-02  0.265027298969035243D+02 -0.730998664801174309D+05
  0.123925289672736200D-03  0.488568418162789279D-02  0.262828021512023255D+02 -0.707034834150748211D+05
  0.127062314299918202D-03  0.496779045733176244D-02  0.260646996994651907D+02 -0.683856621863630135D+05
  0.130278744931306556D-03  0.505127646175829344D-02  0.258484073970546504D+02 -0.661438272382650466D+05
  0.133576591321540259D-03  0.513616537557314099D-02  0.256339102250659465D+02 -0.639754874521368329D+05
  0.136957914081016523D-03  0.522248076870410367D-02  0.254211932892761681D+02 -0.618782333792097634D+05
  0.140424825962210298D-03  0.531024660686960602D-02  0.252102418191093314D+02 -0.598497345594142607D+05
  0.143979493178504679D-03  0.539948725821621373D-02  0.250010411666281342D+02 -0.578877369346162450D+05
  0.147624136756345378D-03  0.549022750006734808D-02  0.247935768054968015D+02 -0.559900603455804958D+05
  0.151361033921565077D-03  0.558249252578436276D-02  0.245878343299777313D+02 -0.541545961037465459D+05
  0.155192519520736856D-03  0.567630795174278550D-02  0.243837994539513332D+02 -0.523793046547728372D+05
