        4436
  0.136957914081016523D-03  0.232135621574516664D-02  0.113013951866850029D+02 -0.274864089749866107D+05
  0.140424825962210298D-03  0.236037404667750837D-02  0.112076908617814013D+02 -0.265849785936374756D+05
  0.143979493178504679D-03  0.240004780926574143D-02  0.111147655501380846D+02 -0.257131032628056782D+05
  0.147624136756345378D-03  0.244038853518662325D-02  0.110226128102611973D+02 -0.248698140333031115D+05
  0.151361033921565077D-03  0.248140744185340253D-02  0.109312262545020769D+02 -0.240541737157479583D+05
  0.155192519520736856D-03  0.252311593555209568D-02  0.108405995486488784D+02 -0.232652758518136070D+05
  0.159120987478439060D-03  0.256552561463028973D-02  0.107507264114108771D+02 -0.225022437008572379D+05
  0.163148892291341160D-03  0.260864827274037182D-02  0.106616006140633992D+02 -0.217642292581453730D+05
  0.167278750560035245D-03  0.265249590213832449D-02  0.105732159799973466D+02 -0.210504123250687699D+05
  0.171513142559565643D-03  0.269708069703805762D-02  0.104855663842754581D+02 -0.203599995948506185D+05
  0.175854713849635545D-03  0.274241505702330383D-02  0.103986457532086014D+02 -0.196922237649037306D+05
  0.180306176925483356D-03  0.278851159051706670D-02  0.103124480639706277D+02 -0.190463426869720279D+05
  0.184870312910463040D-03  0.283538311831098722D-02  0.102269673441596556D+02 -0.184216385477859985D+05
  0.189549973291371662D-03  0.288304267715379023D-02  0.101421976713726387D+02 -0.178174170627788117D+05
  0.194348081697605959D-03  0.293150352340179306D-02  0.100581331728512904D+02 -0.172330067114085468D+05
  0.199267635725251590D-03  0.298077913673124202D-02  0.997476802499980408D+01 -0.166677579884906081D+05
  0.204311708807232651D-03  0.303088322391358933D-02  0.989209645306284813D+01 -0.161210426791348946D+05
  0.209483452130689225D-03  0.308182972265631881D-02  0.981011273068035905D+01 -0.155922531685665490D+05
  0.214786096602766029D-03  0.313363280550768911D-02  0.972881117949589047D+01 -0.150808017593484110D+05
  0.220222954866034122D-03  0.318630688382979567D-02  0.964818616879325219D+01 -0.145861200214298115D+05
  0.225797423364796474D-03  0.323986661183809461D-02  0.956823211508008065D+01 -0.141076581598964749D+05
  0.231512984463553472D-03  0.329432689071103421D-02  0.948894348173918445D+01 -0.136448844058903815D+05
  0.237373208618948050D-03  0.334970287276920064D-02  0.941031477859584520D+01 -0.131972844242783685D+05
  0.243381756606531827D-03  0.340600996572608741D-02  0.933234056159279390D+01 -0.127643607389558347D+05
  0.249542381803732839D-03  0.346326383701199688D-02  0.925501543240011593D+01 -0.123456321866737562D+05
  0.255858932530441839D-03  0.352148041817135519D-02  0.917833403801936143D+01 -0.119406333778154276D+05
  0.262335354448658996D-03  0.358067590933557056D-02  0.910229107045345387D+01 -0.115489141789407713D+05
  0.268975693022697028D-03  0.364086678377271294D-02  0.902688126632112642D+01 -0.111700392150369698D+05
  0.275784096041455280D-03  0.370206979251470631D-02  0.895209940650339675D+01 -0.108035873842454439D+05
  0.282764816204330650D-03  0.376430196906440973D-02  0.887794031578220455D+01 -0.104491513894948148D+05
  0.289922213772361975D-03  0.382758063418283572D-02  0.880439886250003312D+01 -0.101063372876832182D+05
  0.297260759286247791D-03  0.389192340075933917D-02  0.873146995817950256D+01 -0.977476405215821433D+04
  0.304785036352922154D-03  0.395734817876420685D-02  0.865914855718470733D+01 -0.945406314498065694D+04
  0.312499744502405246D-03  0.402387318028771951D-02  0.858742965641020461D+01 -0.914387811033128310D+04
  0.320409702116699105D-03  0.409151692466493654D-02  0.851630829490713737D+01 -0.884386418189374308D+04
  0.328519849432536181D-03  0.416029824368909645D-02  0.844577955352368193D+01 -0.855368789479363113D+04
  0.336835251619833648D-03  0.423023628691389288D-02  0.837583855461229376D+01 -0.827302671464865853D+04
