        4436
  0.556847379752474777D-04 -0.730128071782008218D-05 -0.174808878479477292D+00 -0.104557757912118086D+04
  0.570943717207766292D-04 -0.754872308023169327D-05 -0.176270458057060125D+00 -0.102826772445163760D+04
  0.585396888683321177D-04 -0.780455040482479566D-05 -0.177744226071968520D+00 -0.101124374267458074D+04
  0.600215926631423108D-04 -0.806904677323099806D-05 -0.179230283086229680D+00 -0.994500906781493086D+03
  0.615410092118707266D-04 -0.834250588839717326D-05 -0.180728730454876446D+00 -0.978034567877006339D+03
  0.630988880611342172D-04 -0.862523140024081274D-05 -0.182239670330909598D+00 -0.961840153885056566D+03
  0.646962027906552859D-04 -0.891753724231587887D-05 -0.183763205670295610D+00 -0.945913168291125203D+03
  0.663339516214174257D-04 -0.921974797986065544D-05 -0.185299440236935786D+00 -0.930249188878359405D+03
  0.680131580392042963D-04 -0.953219916961174989D-05 -0.186848478607583801D+00 -0.914843866505728329D+03
  0.697348714339101602D-04 -0.985523773178101760D-05 -0.188410426176797485D+00 -0.899692923907290833D+03
  0.715001677550207611D-04 -0.101892223346059146D-04 -0.189985389161837631D+00 -0.884792154492561394D+03
  0.733101501836734006D-04 -0.105345237918971740D-04 -0.191573474607534877D+00 -0.870137421184544564D+03
  0.751659498217144739D-04 -0.108915254740221860D-04 -0.193174790391158507D+00 -0.855724655268270794D+03
  0.770687263981847682D-04 -0.112606237327771997D-04 -0.194789445227217473D+00 -0.841549855259654578D+03
  0.790196689936726167D-04 -0.116422283406165087D-04 -0.196417548672264242D+00 -0.827609085802099344D+03
  0.810199967829859901D-04 -0.120367629447227266D-04 -0.198059211129658741D+00 -0.813898476561157850D+03
  0.830709597966075775D-04 -0.124446655364184156D-04 -0.199714543854252746D+00 -0.800414221156628173D+03
  0.851738397014048504D-04 -0.128663889364356433D-04 -0.201383658957102529D+00 -0.787152576111454323D+03
  0.873299506010846412D-04 -0.133024012965786653D-04 -0.203066669410093686D+00 -0.774109859797255581D+03
  0.895406398568891255D-04 -0.137531866183312604D-04 -0.204763689050503794D+00 -0.761282451420734219D+03
  0.918072889290445050D-04 -0.142192452889798648D-04 -0.206474832585566315D+00 -0.748666790020860503D+03
  0.941313142394879977D-04 -0.147010946358426147D-04 -0.208200215596942434D+00 -0.736259373474122185D+03
  0.965141680564082446D-04 -0.151992694992135149D-04 -0.209939954545150104D+00 -0.724056757522299904D+03
  0.989573394011523326D-04 -0.157143228246524359D-04 -0.211694166773918613D+00 -0.712055554817096436D+03
  0.101462354978062893D-03 -0.162468262752717516D-04 -0.213462970514498473D+00 -0.700252433984608160D+03
  0.104030780127825097D-03 -0.167973708646930971D-04 -0.215246484889909301D+00 -0.688644118691541280D+03
  0.106664219804916964D-03 -0.173665676113695641D-04 -0.217044829919067095D+00 -0.677227386733661433D+03
  0.109364319579770286D-03 -0.179550482149919084D-04 -0.218858126520872387D+00 -0.665999069155184316D+03
  0.112132766666268600D-03 -0.185634657557224164D-04 -0.220686496518254366D+00 -0.654956049357094798D+03
  0.114971290975220095D-03 -0.191924954170238298D-04 -0.222530062642032400D+00 -0.644095262227155672D+03
  0.117881666194461092D-03 -0.198428352328761826D-04 -0.224388948534758437D+00 -0.633413693304038361D+03
  0.120865710896264140D-03 -0.205152068602028216D-04 -0.226263278754478242D+00 -0.622908377929989456D+03
  0.123925289672736200D-03 -0.212103563773512526D-04 -0.228153178778321142D+00 -0.612576400424999747D+03
  0.127062314299918202D-03 -0.219290551095059611D-04 -0.230058775006040162D+00 -0.602414893283779520D+03
  0.130278744931306556D-03 -0.226721004819370773D-04 -0.231980194763424213D+00 -0.592421036378080885D+03
  0.133576591321540259D-03 -0.234403169020202292D-04 -0.233917566305603036D+00 -0.582592056171124000D+03
  0.136957914081016523D-03 -0.242345566709942148D-04 -0.235871018820205447D+00 -0.572925224948085770D+03
  0.140424825962210298D-03 -0.250557009264536207D-04 -0.237840682430416644D+00 -0.563417860058259521D+03
  0.143979493178504679D-03 -0.259046606166100685D-04 -0.239826688197869453D+00 -0.554067323172149145D+03
  0.147624136756345378D-03 -0.267823775073859966D-04 -0.241829168125440752D+00 -0.544871019549754010D+03
  0.151361033921565077D-03 -0.276898252234446441D-04 -0.243848255159859334D+00 -0.535826397311412734D+03
